Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,22/5/2018,Afternoon,GGY11,Geography,GCSE,Geography Unit 1 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zkw76sg,zyp7jty
CEA,23/5/2018,Afternoon,GSD31,DAS: Physics,GCSE,DAS: Physics Unit 1 (F) (1hr),,1:30 - 2:30,1hr,zrkw2hv,
CEA,23/5/2018,Afternoon,GDW31,DAS: Physics,GCSE,DAS: Physics Unit 1 (F) (1hr) (New),,1:30 - 2:30,1hr,zrkw2hv,
CEA,23/5/2018,Afternoon,GSD32,DAS: Physics,GCSE,DAS: Physics Unit 1 (H) (1hr),,1:30 - 2:30,1hr,zrkw2hv,
CEA,23/5/2018,Afternoon,GDW32,DAS: Physics,GCSE,DAS: Physics Unit 1 (H) (1hr) (New),,1:30 - 2:30,1hr,zrkw2hv,
CEA,23/5/2018,Afternoon,GSS31,SAS: Physics,GCSE,SAS: Physics Unit 3 (F) (1hr),,1:30 - 2:30,1hr,zpm6fg8,
CEA,23/5/2018,Afternoon,GSS32,SAS: Physics,GCSE,SAS: Physics Unit 3 (H) (1hr 15m),,1:30 - 2:45,1hr 15m,zpm6fg8,
CEA,24/5/2018,Afternoon,GRS61,Religious Studies,GCSE,Religious Studies 6 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,24/5/2018,Afternoon,GRE61,Religious Studies,GCSE,Religious Studies 6 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,24/5/2018,Afternoon,GRS71,Religious Studies,GCSE,Religious Studies 7 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,25/5/2018,Afternoon,GTD21,Technology and Design,GCSE,Technology & Design Unit 2 (Option A) (1hr),,1:30 - 2:30,1hr,zvg4d2p,
CEA,25/5/2018,Afternoon,GTD22,Technology and Design,GCSE,Technology & Design Unit 2 (Option B) (1hr),,1:30 - 2:30,1hr,zvg4d2p,
CEA,25/5/2018,Afternoon,GTD31,Technology and Design,GCSE,Technology & Design Unit 3 (1hr),,1:30 - 2:30,1hr,zvg4d2p,
CEA,29/5/2018,Morning,GAL11,Agriculture and Land Use,GCSE,Agriculture & Land Use Unit 1 (1hr 15m),, 9:15 - 10:30,1hr 15m,,
CEA,29/5/2018,Morning,GAR11,Agriculture and Land Use,GCSE,Agriculture & Land Use Unit 1 (1hr 15m),,9:15 - 10:30,1hr 15m,,
CEA,30/5/2018,Morning,G9691,Moving Image Arts,GCSE,Moving Image Arts 1 (1hr 30m),, 9:15 - 10:45,1hr 30m,z9c6y4j,z9c6y4j
CEA,30/5/2018,Morning,GHC11,Child Development,GCSE,Child Development Unit 1 (1hr),, 9:15 - 10:15,1hr,,
CEA,30/5/2018,Morning,GCD11,Child Development,GCSE,Child Development Unit 1 (1hr 15m) (New),,9:15 - 10:30,1hr 15m,,
CEA,31/5/2018,Morning,GEG11,English Lang/English,GCSE,English Lang/English Unit 1 (F) (1hr 30m),, 9:15 - 10:45,1hr 30m,zr9d7ty,z3s43k7
CEA,31/5/2018,Morning,GEG12,English Lang/English,GCSE,English Lang/English Unit 1 (H) (1hr 30m),, 9:15 - 10:45,1hr 30m,zr9d7ty,z3s43k7
CEA,31/5/2018,Morning,GEN11,English Language,GCSE,English Language Unit 1 (1hr 45m) (New),,9:15 - 11:00,1hr 45m,zr9d7ty,z3s43k7
CEA,1/6/2018,Morning,GHC21,Child Development,GCSE,Child Development Unit 2 (1hr),,9:15 - 10:15,1hr,,
CEA,29/5/2018,Afternoon,GGP11,Government and Politics,GCSE,Government and Politics Unit 1 (1hr 30m) (New),, 1:30 - 3:00,1hr 30m,,
CEA,30/5/2018,Afternoon,GGG21,Geography,GCSE,Geography 2 (F) (1hr 30m) ,,1:30 - 3:00,1hr 30m ,zkw76sg,zyp7jty
CEA,30/5/2018,Afternoon,GGG22,Geography,GCSE,Geography 2 (H) (1hr 30m) ,,1:30 - 3:00,1hr 30m ,zkw76sg,zyp7jty
CEA,30/5/2018,Afternoon,GGY21,Geography,GCSE,Geography 2 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zkw76sg,zyp7jty
CEA,1/6/2018,Afternoon,GRS81,Religious Studies,GCSE,Religious Studies 8 (1hr 30m),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,1/6/2018,Afternoon,GRE71,Religious Studies,GCSE,Religious Studies Unit 7 (1hr 30m) (New),,1:30 - 3:00,1hr 30m,zb48q6f,
CEA,4/6/2018,Morning,GHT11,History,GCSE,History Unit 1 (F) (2hrs),, 9:15 - 11:15,2hrs,zj26n39,z3b4v9q
CEA,4/6/2018,Morning,GHT12,History,GCSE,History Unit 1 (H) (2hrs),, 9:15 - 11:15,2hrs,zj26n39,z3b4v9q
